source_type,rainfall_24h_mm,temperature_C,dissolved_oxygen_mgL,chlorine_mgL,month,fecal_coliform_MPN,season,pH,turbidity_NTU,persons_with_symptoms,risk_percent
river,4.717,23.589,5.678,0.974,1,16.326,Winter,7.119,4.934,3,16.655
shallow_well,28.579,26.352,6.24,0.27,7,79.689,Monsoon,7.866,6.268,2,31.338
spring,17.037,23.425,6.151,0.202,6,169.405,Monsoon,7.092,5.161,5,51.153
river,8.86,20.135,8.952,0.56,3,34.51,Summer,7.529,10.886,0,35.132
spring,2.906,25.732,6.005,0.201,10,20.823,Autumn,7.472,20.243,2,47.624
pond,2.278,24.249,6.198,0.296,10,25.796,Autumn,7.811,19.578,2,45.828
shallow_well,4.161,22.814,9.302,0.837,10,77.724,Autumn,7.292,22.928,2,51.262
piped_protected,6.473,25.263,6.465,0.81,1,53.984,Winter,7.299,20.029,4,50.774
community_tank,3.511,19.661,6.069,0.895,2,25.06,Winter,7.262,22.904,0,47.081
rooftop_rainwater,7.235,26.861,8.65,0.482,1,30.732,Winter,7.379,4.302,2,18.648
canal,1.808,24.452,7.024,0.564,3,15.849,Summer,7.301,21.432,4,48.961
open_catchment,38.037,24.198,7.132,0.771,1,16.63,Winter,7.658,1.497,0,21.924
piped_protected,1.142,27.858,7.448,0.239,10,8.216,Autumn,7.505,20.99,1,47.561
shallow_well,26.874,23.393,9.009,0.823,5,100.066,Summer,6.778,16.183,2,46.763
rooftop_rainwater,24.485,25.776,5.449,0.018,10,3.681,Autumn,7.978,14.913,1,41.454
piped_protected,7.452,24.611,8.717,0.798,6,42.284,Monsoon,7.389,7.548,1,28.252
shallow_well,12.907,34.648,4.759,0.776,1,31.251,Winter,8.327,6.787,4,30.482
deep_borehole,5.728,26.465,5.777,0.302,1,29.243,Winter,7.804,23.517,3,56.586
deep_borehole,9.943,21.576,5.655,0.728,12,17.572,Winter,7.432,5.142,2,19.824
spring,4.164,30.257,6.788,0.214,4,24.015,Summer,7.759,22.397,1,49.294
piped_protected,3.583,28.129,5.875,0.576,4,184.639,Summer,6.402,16.821,2,78.361
deep_borehole,8.633,25.135,8.906,0.701,8,34.492,Monsoon,7.576,17.045,2,38.513
shallow_well,6.894,23.688,7.78,0.715,10,37.644,Autumn,7.759,21.484,1,44.135
spring,8.664,21.021,6.978,0.983,7,38.843,Monsoon,7.58,4.297,2,21.574
shallow_well,3.378,26.292,5.683,0.182,7,16.105,Monsoon,7.551,6.356,4,21.124
spring,4.572,22.975,9.102,0.481,9,18.35,Monsoon,7.569,0.333,2,18.091
piped_protected,0.876,22.36,7.148,0.88,8,54.094,Monsoon,7.583,23.467,4,61.837
rooftop_rainwater,0.537,27.326,6.624,0.562,12,14.065,Winter,8.01,10.86,2,30.228
community_tank,2.923,29.635,6.796,0.876,11,29.166,Autumn,7.82,7.692,4,25.131
river,0.771,23.571,6.667,0.434,11,101.667,Autumn,7.707,6.649,1,34.58
rooftop_rainwater,1.096,27.418,8.269,0.795,12,16.602,Winter,7.66,8.974,2,28.03
pond,16.763,25.637,8.696,0.87,12,28.792,Winter,8.5,3.043,4,66.193
shallow_well,0.396,26.076,5.611,0.846,12,24.404,Winter,7.705,19.269,1,37.783
pond,10.757,22.544,6.022,0.871,3,52.779,Summer,7.494,24.883,2,55.501
rooftop_rainwater,3.182,24.363,6.096,0.22,4,37.046,Summer,7.755,4.906,4,20.04
spring,20.522,21.71,7.48,0.439,8,16.383,Monsoon,7.004,13.882,3,39.157
river,6.636,21.332,8.497,0.175,5,18.992,Summer,7.31,14.406,1,42.553
river,3.647,26.555,4.94,0.181,5,17.098,Summer,7.44,11.628,2,30.859
open_catchment,7.291,23.427,5.43,0.488,8,15.804,Monsoon,7.901,96.129,1,100.0
river,4.812,22.255,6.485,0.96,8,5.872,Monsoon,7.802,17.613,1,43.817
community_tank,8.308,21.371,7.801,0.592,6,38.379,Monsoon,7.507,21.536,4,60.759
river,1.216,20.459,5.589,0.854,9,16.62,Monsoon,7.352,17.986,0,49.243
rooftop_rainwater,58.06,19.131,6.421,0.937,4,51.803,Summer,7.667,10.753,2,40.28
open_catchment,5.544,25.333,5.918,0.087,10,34.884,Autumn,6.654,22.372,4,53.656
rooftop_rainwater,4.281,17.118,8.136,0.162,1,22.117,Winter,7.396,19.397,3,52.243
rooftop_rainwater,12.386,26.414,6.836,0.291,10,20.413,Autumn,7.531,3.714,2,13.773
reservoir,4.524,26.393,5.907,0.617,2,8.851,Winter,6.7,18.205,1,36.329
canal,17.914,24.703,5.235,0.062,1,36.463,Winter,7.919,17.275,2,46.971
open_catchment,6.056,25.222,6.406,0.787,4,29.557,Summer,7.948,19.439,1,36.476
rooftop_rainwater,12.714,24.144,6.604,0.064,9,17.385,Monsoon,7.339,24.523,1,65.522
canal,1.137,25.676,8.271,0.158,11,4.752,Autumn,7.303,14.828,4,35.995
canal,18.716,25.641,8.527,0.382,6,26.191,Monsoon,7.759,0.185,2,18.975
open_catchment,13.307,28.905,5.225,0.558,6,28.182,Monsoon,7.391,5.602,0,26.497
reservoir,2.379,29.598,8.477,0.882,6,95.816,Monsoon,8.011,1.856,1,32.726
pond,1.57,29.507,8.069,0.964,1,33.299,Winter,7.118,15.248,2,32.414
spring,3.802,22.607,6.203,0.885,1,104.695,Winter,8.016,67.612,4,100.0
community_tank,37.326,27.273,8.137,0.107,3,17.291,Summer,8.492,9.734,1,31.661
spring,2.968,26.518,5.812,0.631,5,24.692,Summer,7.798,18.294,2,37.834
river,6.09,23.053,7.608,0.442,2,11.957,Winter,7.991,17.975,1,32.695
community_tank,0.305,22.341,10.638,0.126,11,24.703,Autumn,7.63,5.592,1,21.33
river,5.062,23.87,7.346,0.555,12,72.847,Winter,7.141,22.802,1,53.142
rooftop_rainwater,8.47,21.817,6.487,0.357,1,74.95,Winter,7.428,10.682,5,33.468
shallow_well,30.603,20.832,5.029,0.346,9,39.965,Monsoon,7.133,20.137,1,55.253
open_catchment,7.272,26.492,7.123,0.094,11,8.642,Autumn,7.662,14.105,1,31.723
community_tank,17.099,25.098,8.497,0.979,1,8.163,Winter,7.784,0.646,0,13.46
community_tank,7.921,25.083,5.936,0.726,11,25.109,Autumn,7.964,12.804,1,34.843
rooftop_rainwater,0.416,27.78,7.811,0.28,11,16.469,Autumn,6.825,4.481,1,21.173
pond,3.783,24.412,6.605,0.917,11,61.912,Autumn,7.081,13.089,1,34.162
canal,8.57,27.491,6.402,0.948,4,51.293,Summer,7.68,13.181,3,32.524
rooftop_rainwater,30.077,22.783,7.734,0.81,9,45.136,Monsoon,6.881,7.859,4,29.539
deep_borehole,19.599,22.764,4.16,0.659,10,18.283,Autumn,7.941,2.154,1,23.899
reservoir,2.592,25.042,6.713,0.376,2,37.125,Winter,7.643,13.585,2,37.92
canal,2.486,31.364,8.481,0.434,10,44.657,Autumn,7.343,88.306,3,100.0
open_catchment,2.246,28.856,6.723,0.455,3,22.876,Summer,8.005,21.78,3,44.436
canal,25.575,28.294,7.011,0.949,4,25.334,Summer,7.833,24.692,5,56.883
pond,19.151,20.884,6.801,0.76,12,43.321,Winter,6.844,8.934,3,33.203
canal,14.911,25.435,9.869,0.292,2,10.993,Winter,7.34,15.933,3,38.145
open_catchment,4.988,27.463,7.577,0.625,2,18.164,Winter,7.368,4.325,2,16.378
pond,7.019,31.256,5.086,0.594,12,16.8,Winter,7.365,14.529,0,36.581
spring,6.242,19.949,5.701,0.812,6,85.255,Monsoon,7.856,3.656,3,28.709
community_tank,2.922,27.193,7.141,0.095,11,19.003,Autumn,7.608,11.807,5,28.033
community_tank,7.033,28.193,8.887,0.701,11,32.975,Autumn,7.102,4.733,1,19.242
reservoir,0.31,26.355,7.992,0.331,10,60.855,Autumn,7.729,12.427,2,35.604
river,1.413,20.949,8.489,0.13,5,15.232,Summer,7.75,8.551,2,23.816
spring,21.767,25.76,5.305,0.732,11,76.505,Autumn,7.763,9.365,3,31.975
spring,13.93,26.286,7.946,0.332,5,83.309,Summer,7.29,12.898,3,45.743
canal,5.497,25.533,5.893,0.73,9,4.177,Monsoon,6.934,18.015,4,38.766
community_tank,7.28,22.945,6.82,0.162,7,45.66,Monsoon,8.189,22.158,2,65.584
open_catchment,4.62,22.573,8.275,0.986,11,89.578,Autumn,7.848,23.539,3,55.806
piped_protected,13.501,26.368,6.147,0.803,9,21.97,Monsoon,7.694,24.585,2,56.22
piped_protected,15.333,22.971,4.84,0.289,1,54.79,Winter,7.637,3.085,0,22.316
pond,14.409,23.039,6.448,0.741,2,8.817,Winter,7.343,1.308,0,21.25
community_tank,12.823,24.581,7.182,0.136,5,6.885,Summer,7.473,16.828,1,41.558
community_tank,2.288,25.479,8.024,0.653,10,21.13,Autumn,7.765,4.106,2,17.361
reservoir,4.124,28.116,5.666,0.06,7,12.335,Monsoon,7.763,6.805,2,28.946
piped_protected,6.346,21.412,6.169,0.333,8,45.658,Monsoon,6.838,15.357,0,44.674
community_tank,4.017,21.115,7.323,0.978,7,44.218,Monsoon,7.072,9.875,3,33.458
reservoir,14.063,23.854,7.819,0.121,9,185.073,Monsoon,7.315,15.612,3,75.678
canal,3.995,19.599,7.304,0.597,11,70.77,Autumn,6.998,10.207,2,34.924
deep_borehole,1.488,26.76,6.78,0.071,3,17.823,Summer,7.403,18.366,1,45.215
shallow_well,5.092,19.019,5.891,0.669,11,33.557,Autumn,7.365,0.409,4,21.087
spring,39.078,27.122,8.331,0.279,5,39.787,Summer,7.244,60.459,1,100.0
river,2.56,28.327,8.82,0.31,12,54.13,Winter,6.965,11.372,1,34.135
pond,9.472,25.779,6.123,0.338,6,4.297,Monsoon,7.45,18.155,3,44.707
deep_borehole,5.673,19.428,6.288,0.205,10,20.538,Autumn,7.233,3.424,2,19.069
piped_protected,0.737,25.318,8.026,0.942,7,90.275,Monsoon,7.965,9.918,5,31.557
reservoir,6.692,22.61,7.251,0.906,12,47.426,Winter,7.508,8.831,0,27.734
spring,12.112,21.394,7.873,0.87,7,33.364,Monsoon,7.93,12.119,0,32.132
community_tank,7.199,26.738,7.407,0.106,4,19.25,Summer,7.577,13.172,2,37.028
river,20.566,27.301,7.57,0.233,1,28.18,Winter,7.852,1.196,1,26.866
community_tank,3.41,28.857,6.389,0.612,8,33.436,Monsoon,7.268,18.928,1,54.658
open_catchment,0.902,24.146,4.003,0.97,10,13.138,Autumn,7.148,9.588,0,19.354
open_catchment,27.577,25.516,7.29,0.605,1,41.808,Winter,7.962,8.205,0,26.781
river,4.751,29.996,8.035,0.327,12,34.391,Winter,8.072,15.234,0,39.531
reservoir,8.59,31.286,7.429,0.817,1,21.259,Winter,7.599,1.954,5,17.609
river,15.702,28.241,5.881,0.135,9,21.203,Monsoon,7.476,7.631,4,30.069
piped_protected,3.92,23.95,6.132,0.882,10,9.507,Autumn,7.137,1.954,1,17.913
river,12.594,25.022,10.686,0.975,10,96.453,Autumn,7.648,5.713,2,28.874
canal,1.455,24.465,7.528,0.968,12,52.451,Winter,6.456,22.109,2,61.213
community_tank,3.443,27.117,3.478,0.148,3,42.65,Summer,7.542,17.393,0,53.277
deep_borehole,1.563,22.541,6.139,0.55,9,54.673,Monsoon,7.48,11.834,1,36.634
rooftop_rainwater,16.672,25.964,6.674,0.585,10,2.386,Autumn,6.824,18.946,0,35.958
reservoir,2.519,25.979,5.142,0.195,11,173.234,Autumn,7.278,2.065,3,46.467
river,12.637,26.151,6.805,0.547,10,2.634,Autumn,7.302,7.951,0,17.029
pond,28.7,21.933,6.261,0.647,12,77.572,Winter,7.342,7.944,6,32.368
open_catchment,7.503,25.742,7.294,0.329,1,35.197,Winter,7.074,10.521,1,32.804
canal,7.766,30.308,6.573,0.316,7,11.315,Monsoon,9.066,22.052,2,96.305
spring,6.181,23.629,5.95,0.06,5,35.574,Summer,6.816,8.323,1,27.694
rooftop_rainwater,3.944,25.779,6.492,0.957,12,51.933,Winter,7.182,11.888,2,31.419
reservoir,6.456,19.474,8.271,0.804,12,19.534,Winter,7.734,0.16,1,21.316
deep_borehole,9.233,25.759,7.096,0.759,4,105.737,Summer,7.558,10.617,3,40.276
rooftop_rainwater,42.681,25.65,6.677,0.022,11,7.391,Autumn,7.586,11.565,1,33.056
river,27.768,25.349,7.527,0.624,12,11.335,Winter,7.025,14.383,5,35.877
piped_protected,19.816,27.191,6.998,0.181,5,9.328,Summer,6.994,3.37,0,22.223
open_catchment,21.994,24.163,5.34,0.662,1,7.959,Winter,7.393,5.918,2,20.944
open_catchment,6.308,28.529,8.03,0.621,10,37.82,Autumn,6.986,22.713,3,46.398
spring,10.713,22.351,6.063,0.852,7,158.072,Monsoon,7.873,4.171,0,40.029
piped_protected,22.544,29.33,6.486,0.255,11,74.58,Autumn,8.195,18.489,2,58.639
community_tank,4.991,25.638,4.73,0.027,12,23.735,Winter,7.297,14.52,0,40.964
shallow_well,32.639,24.785,8.233,0.914,2,127.54,Winter,7.418,14.803,1,47.586
canal,5.375,20.705,7.187,0.909,12,89.223,Winter,7.391,1.74,0,28.829
open_catchment,9.19,21.671,7.427,0.456,9,16.589,Monsoon,7.404,23.308,2,60.865
pond,12.372,26.053,8.221,0.078,5,24.008,Summer,7.403,14.15,2,38.074
open_catchment,30.076,22.85,8.234,0.498,5,42.733,Summer,6.844,7.472,2,22.51
rooftop_rainwater,2.805,27.985,5.944,0.524,3,14.891,Summer,8.229,3.241,0,24.379
open_catchment,13.709,25.862,7.018,0.822,10,12.153,Autumn,7.709,16.402,3,34.291
reservoir,7.357,20.725,6.871,0.717,2,66.691,Winter,7.506,17.818,2,47.821
open_catchment,3.127,27.283,6.729,0.071,8,84.011,Monsoon,7.599,17.523,2,53.226
shallow_well,14.988,24.513,5.793,0.705,9,11.818,Monsoon,7.935,5.45,1,20.643
shallow_well,8.035,24.863,9.138,0.136,3,46.004,Summer,7.534,10.051,2,29.018
deep_borehole,10.817,28.134,8.521,0.089,12,45.261,Winter,9.037,4.987,1,88.22
community_tank,3.899,20.817,7.665,0.399,11,10.902,Autumn,8.09,0.249,4,19.057
pond,6.564,21.626,9.035,0.077,8,44.188,Monsoon,7.623,15.534,3,54.086
open_catchment,9.606,25.977,7.712,0.829,6,53.577,Monsoon,7.982,3.199,1,27.951
open_catchment,5.19,19.904,6.545,0.463,12,56.159,Winter,7.25,13.413,1,42.085
canal,2.211,23.179,6.368,0.587,11,24.005,Autumn,7.53,60.252,3,100.0
shallow_well,32.608,27.935,7.579,0.577,9,42.68,Monsoon,7.83,21.186,1,57.716
pond,7.163,24.674,4.933,0.978,10,37.985,Autumn,7.618,2.572,0,15.949
spring,13.24,20.877,8.3,0.916,4,34.329,Summer,4.396,6.534,3,83.106
deep_borehole,5.294,25.567,4.557,0.849,3,75.885,Summer,7.635,14.828,0,44.444
community_tank,4.387,23.785,8.654,0.383,7,12.323,Monsoon,7.438,3.945,0,19.912
piped_protected,5.228,22.893,7.745,0.145,1,13.7,Winter,7.334,14.919,3,39.254
community_tank,5.263,35.669,9.926,0.592,3,11.106,Summer,7.608,24.133,4,61.417
reservoir,7.857,26.724,7.27,0.44,7,83.94,Monsoon,8.14,10.195,2,37.25
rooftop_rainwater,7.841,24.15,7.984,0.226,12,30.961,Winter,7.813,13.9,3,34.506
reservoir,6.875,27.695,8.045,0.098,7,17.071,Monsoon,8.639,2.217,0,93.253
open_catchment,1.448,24.127,5.672,0.436,9,110.524,Monsoon,6.825,15.354,3,55.534
deep_borehole,6.853,23.446,5.399,0.651,10,24.912,Autumn,7.797,11.639,1,31.174
rooftop_rainwater,1.853,25.898,5.599,0.625,9,3.902,Monsoon,7.869,8.365,1,25.096
pond,1.348,26.526,6.951,0.774,11,16.629,Autumn,7.477,4.695,1,19.32
piped_protected,26.978,27.777,6.989,0.467,11,34.477,Autumn,7.024,20.11,3,47.798
shallow_well,9.287,29.271,7.051,0.322,7,45.262,Monsoon,7.368,4.016,1,35.372
deep_borehole,10.773,28.563,7.741,0.539,11,16.117,Autumn,6.587,0.552,4,17.734
deep_borehole,5.138,27.57,5.886,0.975,3,20.612,Summer,7.573,12.877,4,30.716
reservoir,23.967,27.878,8.258,0.045,3,19.273,Summer,8.309,19.246,2,50.506
open_catchment,10.159,28.554,7.646,0.529,5,58.492,Summer,7.296,4.685,3,24.387
river,14.661,27.129,9.371,0.329,9,117.703,Monsoon,7.554,2.169,2,44.266
reservoir,4.598,20.244,7.646,0.105,1,15.163,Winter,7.995,24.537,3,64.528
deep_borehole,32.192,26.493,6.896,0.435,1,126.22,Winter,7.231,4.54,2,36.314
canal,17.174,29.131,10.221,0.641,9,37.182,Monsoon,7.49,14.788,6,44.065
piped_protected,19.238,22.592,6.874,0.528,12,26.631,Winter,7.692,9.718,3,22.316
reservoir,1.89,23.824,7.434,0.029,7,23.229,Monsoon,7.254,12.232,5,34.859
piped_protected,3.16,24.82,7.652,0.579,11,11.997,Autumn,7.403,6.489,1,17.163
canal,3.363,25.57,8.397,0.232,4,13.4,Summer,6.666,17.884,1,40.18
spring,3.16,23.335,7.128,0.341,1,11.588,Winter,7.556,17.09,3,40.639
canal,19.338,25.172,11.151,0.312,6,10.53,Monsoon,7.851,20.346,6,50.038
canal,0.324,26.54,6.14,0.859,9,45.183,Monsoon,7.336,16.432,0,41.485
piped_protected,0.792,18.969,9.234,0.048,6,246.809,Monsoon,7.111,14.215,3,93.344
community_tank,3.201,25.224,4.806,0.348,5,14.625,Summer,6.456,19.945,1,79.124
piped_protected,2.23,23.852,5.523,0.395,1,23.239,Winter,7.912,5.648,1,19.834
river,2.638,19.879,4.666,0.619,9,81.346,Monsoon,7.579,12.679,0,52.263
open_catchment,15.992,26.693,5.612,0.789,9,11.429,Monsoon,7.133,19.976,1,46.124
rooftop_rainwater,8.281,25.934,4.546,0.728,1,7.846,Winter,7.701,8.606,4,26.919
community_tank,0.058,25.495,7.162,0.753,12,4.746,Winter,7.903,17.421,1,30.432
shallow_well,5.609,26.831,5.661,0.192,4,32.356,Summer,7.627,23.967,1,55.414
rooftop_rainwater,5.241,25.964,9.272,0.912,12,16.4,Winter,7.159,15.709,3,29.031
open_catchment,1.21,22.786,7.754,0.414,1,8.469,Winter,7.391,22.573,3,54.542
reservoir,11.274,27.169,7.1,0.011,10,15.765,Autumn,4.359,10.63,2,100.0
river,12.11,27.683,7.399,0.668,4,71.861,Summer,6.939,11.23,4,31.149
river,12.762,21.743,7.969,0.604,7,19.953,Monsoon,7.47,52.457,1,100.0
shallow_well,13.037,27.642,8.789,0.126,8,69.115,Monsoon,7.07,17.757,2,59.465
community_tank,0.001,24.149,6.254,0.96,3,46.408,Summer,7.674,17.648,3,35.9
spring,30.774,26.838,5.978,0.562,3,34.782,Summer,7.106,24.678,4,53.987
canal,16.831,25.456,7.622,0.469,10,29.463,Autumn,7.621,17.206,4,37.336
community_tank,23.432,24.484,9.353,0.398,5,57.986,Summer,7.566,3.513,0,27.143
spring,0.158,26.618,4.957,0.21,11,39.686,Autumn,7.722,1.927,3,24.487
river,27.16,24.001,7.599,0.953,6,35.955,Monsoon,7.615,17.843,4,46.648
piped_protected,16.596,28.241,8.936,0.702,3,4.592,Summer,7.428,16.254,3,41.579
open_catchment,18.154,28.734,7.923,0.568,6,21.824,Monsoon,7.094,22.514,0,57.927
shallow_well,0.979,23.359,7.498,0.631,10,6.602,Autumn,7.885,1.176,2,14.159
open_catchment,13.424,24.498,7.811,0.84,12,10.314,Winter,7.002,21.831,1,37.359
pond,32.168,23.878,9.705,0.636,7,80.434,Monsoon,7.193,23.201,1,61.323
pond,11.349,26.126,8.192,0.115,6,25.359,Monsoon,7.347,21.107,1,56.835
reservoir,8.453,28.93,4.673,0.697,6,152.711,Monsoon,7.195,19.774,4,74.044
community_tank,29.119,19.997,6.873,0.565,2,60.522,Winter,7.127,8.908,2,33.204
river,5.851,20.745,7.131,0.966,11,15.058,Autumn,7.742,22.46,5,45.803
river,9.145,24.749,8.539,0.734,4,19.702,Summer,7.146,1.064,3,12.785
canal,6.469,25.558,7.125,0.344,1,55.867,Winter,7.915,8.435,2,33.274
canal,27.008,22.176,7.024,0.135,10,50.563,Autumn,7.516,24.937,1,64.903
canal,0.791,25.542,7.064,0.482,5,76.62,Summer,7.069,7.995,3,27.616
piped_protected,6.954,22.777,7.36,0.679,10,3.665,Autumn,8.499,16.62,6,32.325
rooftop_rainwater,11.614,23.66,6.86,0.177,3,6.428,Summer,7.305,62.23,1,100.0
deep_borehole,15.698,28.809,6.371,0.649,3,16.274,Summer,7.659,22.074,3,43.441
rooftop_rainwater,8.747,23.971,6.778,0.826,4,57.072,Summer,6.826,15.497,1,39.178
open_catchment,23.96,23.918,7.458,0.157,12,64.773,Winter,7.471,1.909,1,24.463
rooftop_rainwater,28.472,25.395,7.931,0.706,9,2.091,Monsoon,7.855,22.229,6,49.612
piped_protected,0.665,28.277,11.105,0.068,11,12.466,Autumn,6.832,14.333,2,37.287
reservoir,5.148,24.871,5.006,0.008,6,51.349,Monsoon,8.263,14.15,4,46.561
open_catchment,0.237,23.325,7.881,0.033,10,10.873,Autumn,7.337,13.53,0,34.213
rooftop_rainwater,3.996,26.737,9.214,0.632,11,39.098,Autumn,7.24,1.618,1,20.604
piped_protected,7.697,27.438,5.84,0.973,8,47.058,Monsoon,7.397,3.355,2,20.861
deep_borehole,24.168,28.434,8.027,0.771,11,18.368,Autumn,7.503,7.088,1,22.139
rooftop_rainwater,18.744,24.893,6.453,0.254,12,32.332,Winter,7.352,14.092,1,39.99
piped_protected,1.364,26.426,6.225,0.072,5,26.377,Summer,7.935,21.745,1,53.192
canal,0.976,27.371,5.9,0.617,6,49.865,Monsoon,7.633,21.055,1,56.523
river,8.898,25.546,6.864,0.003,3,24.206,Summer,7.317,5.716,3,18.961
canal,7.595,28.958,6.808,0.793,11,5.22,Autumn,7.274,16.137,0,35.98
river,3.098,26.954,8.13,0.243,11,53.204,Autumn,6.968,7.77,3,26.426
shallow_well,22.971,30.649,4.834,0.299,11,29.702,Autumn,7.319,13.401,3,41.093
shallow_well,26.223,27.753,8.275,0.344,7,52.832,Monsoon,7.711,9.093,4,33.306
shallow_well,5.152,19.22,8.242,0.764,12,13.382,Winter,6.906,24.081,4,49.941
deep_borehole,22.1,23.805,7.463,0.266,11,23.564,Autumn,6.898,21.615,1,53.968
canal,4.844,20.146,10.432,0.284,11,18.641,Autumn,8.196,12.195,1,32.327
river,13.349,23.084,8.85,0.541,9,75.296,Monsoon,7.119,1.635,3,29.216
piped_protected,6.462,23.886,6.249,0.463,9,59.806,Monsoon,7.245,6.095,0,31.072
open_catchment,1.308,27.606,5.216,0.956,7,137.296,Monsoon,7.349,16.693,1,53.416
piped_protected,26.302,23.681,5.968,0.263,3,27.478,Summer,6.93,22.635,1,56.963
open_catchment,6.053,29.183,6.128,0.092,5,9.08,Summer,7.773,10.465,1,29.317
pond,13.261,22.994,4.258,0.541,10,11.1,Autumn,6.282,23.272,5,79.353
piped_protected,4.576,24.135,7.741,0.185,9,76.272,Monsoon,7.501,6.245,3,34.577
rooftop_rainwater,0.191,21.281,5.029,0.414,11,114.714,Autumn,8.442,19.869,4,56.681
rooftop_rainwater,1.059,29.334,7.35,0.187,9,8.494,Monsoon,8.17,2.223,0,29.249
community_tank,6.856,29.735,8.407,0.881,3,18.834,Summer,7.302,11.284,2,29.175
canal,11.711,24.604,9.099,0.327,5,10.389,Summer,7.426,18.775,5,49.468
open_catchment,4.076,20.558,6.623,0.775,1,225.049,Winter,7.165,23.162,2,87.896
