source_type,turbidity_NTU,rainfall_24h_mm,temperature_C,dissolved_oxygen_mgL,chlorine_mgL,month,fecal_coliform_MPN,season,pH,persons_with_symptoms,risk_percent
rooftop_rainwater,5.149,29.76,24.573,7.057,0.286,3,23.295,Summer,7.825,2,19.926
canal,1.654,28.308,22.416,8.355,0.819,1,142.373,Winter,7.54,4,36.696
open_catchment,9.777,1.995,22.228,8.792,0.585,8,7.634,Monsoon,7.659,1,25.458
piped_protected,1.079,2.047,25.795,6.538,0.989,8,47.379,Monsoon,7.339,1,16.193
shallow_well,9.319,1.784,27.473,7.837,0.916,8,53.684,Monsoon,7.282,1,25.391
rooftop_rainwater,9.136,15.555,25.822,7.576,0.178,8,30.72,Monsoon,6.632,2,28.349
piped_protected,5.254,0.06,21.561,8.209,0.674,12,25.403,Winter,6.881,2,19.727
shallow_well,7.249,1.36,22.992,7.491,0.653,5,33.253,Summer,6.842,6,21.033
deep_borehole,4.36,7.721,25.963,7.396,0.111,7,30.277,Monsoon,7.311,1,21.914
deep_borehole,6.3,2.844,26.972,6.093,0.09,12,76.556,Winter,7.873,1,31.591
spring,3.406,0.969,24.376,7.308,0.569,3,38.875,Summer,8.071,3,20.681
piped_protected,3.012,4.461,22.32,6.49,0.403,10,147.552,Autumn,8.164,3,40.0
deep_borehole,5.782,3.205,27.323,5.396,0.545,2,42.731,Winter,7.726,0,23.697
shallow_well,4.981,7.156,30.437,7.45,0.239,6,42.006,Monsoon,7.678,0,31.31
spring,5.795,38.744,28.371,5.466,0.557,1,85.852,Winter,7.661,1,33.537
shallow_well,2.867,1.327,30.953,6.935,0.383,2,8.554,Winter,6.984,4,24.216
spring,3.67,4.664,23.136,6.451,0.888,7,31.264,Monsoon,7.025,1,20.898
piped_protected,0.839,26.88,28.094,6.156,0.306,9,25.567,Monsoon,7.625,3,22.46
rooftop_rainwater,0.523,20.945,28.865,9.108,0.871,7,16.794,Monsoon,7.244,1,29.082
community_tank,2.535,5.013,23.539,9.457,0.39,10,28.402,Autumn,7.246,3,20.887
river,0.742,12.005,22.523,6.555,0.578,8,249.423,Monsoon,7.96,1,61.856
rooftop_rainwater,1.038,0.92,22.117,8.496,0.286,8,15.195,Monsoon,8.057,2,19.671
pond,8.129,12.467,24.727,4.628,0.809,10,23.55,Autumn,7.586,3,21.843
shallow_well,0.389,36.067,20.483,5.228,0.844,3,305.806,Summer,6.919,2,69.304
pond,6.589,7.711,30.068,6.908,0.809,6,45.745,Monsoon,7.609,3,27.299
rooftop_rainwater,2.726,6.901,21.149,5.4,0.64,2,129.371,Winter,7.55,3,35.336
spring,8.715,2.074,26.265,7.563,0.305,9,88.082,Monsoon,7.278,1,40.881
river,4.85,10.045,18.211,7.431,0.636,7,31.785,Monsoon,7.337,2,24.428
river,3.056,8.927,31.136,6.929,0.96,3,96.727,Summer,7.705,2,27.442
open_catchment,5.176,10.554,28.748,10.551,0.648,6,77.978,Monsoon,7.121,0,27.365
river,3.82,0.264,20.219,7.552,0.956,10,191.379,Autumn,6.847,2,40.227
community_tank,5.643,7.957,25.915,7.864,0.305,1,29.714,Winter,7.86,0,18.639
river,1.145,9.037,24.275,7.728,0.846,7,15.803,Monsoon,7.897,1,22.149
rooftop_rainwater,9.97,2.326,25.465,5.649,0.718,9,53.401,Monsoon,7.077,3,29.189
open_catchment,4.256,2.336,26.906,9.925,0.819,5,41.742,Summer,7.417,5,20.471
rooftop_rainwater,3.482,3.233,22.598,4.894,0.711,9,16.684,Monsoon,8.082,2,15.855
rooftop_rainwater,7.102,12.438,24.839,7.428,0.48,8,73.392,Monsoon,7.751,4,32.176
reservoir,3.639,9.321,19.571,8.117,0.687,8,61.177,Monsoon,8.206,2,33.645
canal,8.333,18.693,25.25,8.475,0.932,6,26.943,Monsoon,6.558,0,22.405
open_catchment,4.543,3.505,18.823,6.533,0.418,3,66.069,Summer,8.276,0,24.65
rooftop_rainwater,7.196,24.312,28.917,8.115,0.952,4,44.452,Summer,7.564,3,23.82
canal,1.075,13.614,20.606,5.428,0.049,1,25.825,Winter,7.298,1,26.615
canal,8.461,5.025,25.883,9.506,0.014,11,67.873,Autumn,7.661,1,29.522
open_catchment,7.357,1.001,27.486,6.756,0.494,6,32.605,Monsoon,7.758,3,26.958
reservoir,2.117,2.97,30.592,6.255,0.849,7,62.456,Monsoon,7.64,2,28.671
pond,1.453,31.412,30.32,6.043,0.248,12,136.996,Winter,7.607,2,39.416
spring,3.163,3.716,29.182,7.446,0.693,10,16.767,Autumn,6.895,1,20.592
community_tank,9.761,4.003,24.952,4.63,0.547,9,90.306,Monsoon,7.569,3,40.043
spring,2.568,2.102,28.347,8.327,0.291,5,35.949,Summer,7.095,4,15.11
river,4.561,16.443,25.828,6.104,0.286,2,33.611,Winter,8.567,0,82.649
community_tank,0.3,3.225,26.084,8.957,0.073,7,101.061,Monsoon,6.823,0,37.766
river,3.972,4.009,23.139,5.136,0.536,11,55.214,Autumn,7.565,2,20.879
rooftop_rainwater,5.713,5.35,30.224,7.198,0.45,11,15.791,Autumn,7.12,4,31.303
shallow_well,9.531,5.687,22.591,7.831,0.289,12,56.301,Winter,7.646,6,35.36
open_catchment,5.167,5.299,21.789,7.993,0.97,7,46.58,Monsoon,7.133,2,19.627
community_tank,8.191,7.007,26.223,6.225,0.818,11,54.472,Autumn,7.71,2,24.958
community_tank,5.471,16.848,19.624,5.148,0.525,5,32.675,Summer,7.363,2,24.786
rooftop_rainwater,0.408,17.108,25.353,6.315,0.522,11,28.512,Autumn,7.208,4,21.503
pond,3.15,16.01,29.904,8.75,0.194,12,28.384,Winter,6.933,2,28.661
canal,5.755,1.066,26.245,10.138,0.649,2,4.765,Winter,8.367,1,13.799
rooftop_rainwater,9.506,16.078,25.095,4.566,0.954,7,79.368,Monsoon,8.253,1,34.623
deep_borehole,8.591,1.281,22.48,5.893,0.898,1,21.202,Winter,7.475,1,22.455
reservoir,2.284,1.332,20.493,4.401,0.085,11,26.634,Autumn,7.006,1,23.442
canal,2.201,29.539,27.591,6.177,0.053,6,35.5,Monsoon,8.159,2,30.344
open_catchment,2.012,17.115,25.084,6.043,0.961,6,151.457,Monsoon,7.71,0,36.036
canal,9.225,8.039,26.874,5.207,0.2,6,6.673,Monsoon,7.489,1,24.812
pond,8.527,20.792,18.424,9.495,0.55,3,18.012,Summer,6.848,3,23.396
canal,7.749,45.436,27.196,8.72,0.075,3,47.622,Summer,7.126,2,34.754
open_catchment,3.927,9.433,30.957,7.365,0.843,1,2.306,Winter,7.294,2,19.093
pond,5.044,9.491,29.024,6.835,0.118,4,32.445,Summer,7.523,2,23.917
spring,4.643,14.042,25.89,8.339,0.644,7,23.56,Monsoon,7.103,1,22.825
community_tank,2.534,2.641,21.867,5.498,0.057,1,23.426,Winter,4.177,1,100.0
community_tank,5.05,1.829,25.365,7.358,0.157,10,33.686,Autumn,8.307,2,22.7
reservoir,0.305,14.254,25.462,6.092,0.512,10,53.255,Autumn,7.868,2,23.983
river,1.318,4.23,23.513,10.515,0.046,2,11.174,Winter,7.023,5,19.566
spring,8.866,1.451,23.742,4.963,0.196,10,63.487,Autumn,7.566,1,30.284
spring,7.517,3.782,31.296,6.592,0.136,2,26.726,Winter,8.196,4,25.691
canal,4.229,4.442,22.103,5.058,0.041,5,145.52,Summer,7.564,1,42.972
community_tank,5.172,33.589,23.713,8.128,0.971,11,91.33,Autumn,7.639,1,26.589
open_catchment,3.7,11.972,26.683,8.125,0.45,8,29.564,Monsoon,7.765,1,20.886
piped_protected,7.408,7.568,31.543,5.953,0.859,5,87.771,Summer,7.521,3,40.253
piped_protected,7.842,34.697,24.097,5.137,0.358,1,10.518,Winter,7.03,3,27.048
pond,7.633,23.345,19.603,6.421,0.043,1,11.651,Winter,7.151,3,35.008
community_tank,7.226,7.174,18.59,5.953,0.696,5,146.012,Summer,7.4,1,46.28
community_tank,2.045,23.611,32.56,7.096,0.039,2,23.238,Winter,7.271,1,31.833
reservoir,3.38,5.18,19.272,9.43,0.553,12,94.408,Winter,6.659,3,28.752
piped_protected,4.698,2.619,25.228,7.992,0.139,3,26.09,Summer,7.033,1,14.062
community_tank,3.308,2.648,20.462,8.139,0.671,2,65.677,Winter,7.822,0,18.743
reservoir,7.549,10.856,22.634,6.994,0.893,9,22.891,Monsoon,7.255,1,23.046
canal,3.294,6.953,23.055,10.965,0.956,5,10.201,Summer,8.22,2,15.658
deep_borehole,1.382,10.757,19.134,7.175,0.528,1,78.551,Winter,7.097,3,35.474
shallow_well,3.99,11.586,28.657,8.088,0.533,3,153.646,Summer,7.362,3,42.284
spring,9.799,0.226,26.292,8.648,0.038,8,7.839,Monsoon,8.111,4,25.97
river,2.259,0.556,23.719,6.923,0.77,4,42.843,Summer,7.335,3,16.632
pond,6.122,7.607,23.275,7.311,0.956,8,30.932,Monsoon,7.965,3,17.944
deep_borehole,4.33,2.12,28.265,6.145,0.438,1,87.614,Winter,7.11,1,29.401
piped_protected,0.71,10.011,25.27,7.027,0.794,8,60.313,Monsoon,6.986,2,27.985
reservoir,4.879,8.034,31.257,9.195,0.797,10,47.497,Autumn,7.495,2,24.495
spring,7.022,8.813,23.657,8.746,0.786,9,9.713,Monsoon,7.303,2,20.57
community_tank,5.132,3.602,26.277,8.031,0.759,11,65.533,Autumn,7.203,1,28.258
river,8.721,10.212,21.306,8.365,0.215,12,28.786,Winter,7.433,2,31.838
community_tank,2.889,17.69,23.7,6.944,0.751,7,17.274,Monsoon,7.227,2,18.961
open_catchment,0.862,62.509,28.113,8.422,0.144,3,50.784,Summer,6.548,8,27.628
open_catchment,9.366,18.229,28.536,6.772,0.713,11,26.194,Autumn,7.634,4,27.016
river,3.782,8.153,30.524,4.55,0.004,2,111.452,Winter,8.032,3,41.801
reservoir,5.764,2.15,26.335,9.749,0.919,1,33.052,Winter,7.636,2,22.181
river,7.92,11.44,28.707,6.694,0.827,10,79.22,Autumn,7.619,3,32.762
piped_protected,3.243,27.751,26.872,8.581,0.683,10,91.71,Autumn,6.941,1,26.91
river,7.162,2.381,23.761,6.456,0.094,7,55.284,Monsoon,7.913,3,35.059
canal,1.354,2.957,20.458,2.965,0.825,1,6.88,Winter,7.416,0,30.319
community_tank,2.913,1.614,24.306,6.891,0.875,6,25.474,Monsoon,7.399,2,17.325
deep_borehole,1.447,13.345,21.564,4.237,0.688,1,11.292,Winter,7.474,1,20.678
rooftop_rainwater,8.112,5.218,28.164,8.133,0.976,10,9.58,Autumn,7.615,2,19.737
reservoir,2.226,0.647,28.334,6.656,0.093,4,2.299,Summer,7.227,5,18.447
river,7.174,20.79,21.953,8.828,0.709,5,14.681,Summer,7.502,0,26.581
pond,9.433,8.157,28.336,7.35,0.525,1,32.905,Winter,7.262,2,24.186
open_catchment,5.278,4.021,21.459,5.455,0.146,8,41.797,Monsoon,8.497,1,22.409
canal,5.4,4.216,29.334,8.005,0.658,7,44.511,Monsoon,7.616,3,27.162
spring,4.61,3.428,24.515,4.661,0.8,1,65.545,Winter,7.363,4,23.815
rooftop_rainwater,3.259,6.079,26.376,6.539,0.165,5,33.029,Summer,7.75,2,21.83
reservoir,4.757,4.11,29.348,4.204,0.793,4,18.265,Summer,7.06,2,25.724
deep_borehole,6.028,7.94,26.791,7.525,0.093,1,38.547,Winter,7.414,1,25.842
rooftop_rainwater,9.86,14.851,24.599,7.371,0.591,4,8.944,Summer,7.996,1,18.575
river,9.378,11.223,27.624,7.189,0.798,4,27.56,Summer,6.916,1,20.78
piped_protected,8.622,3.488,22.098,5.596,0.146,6,106.675,Monsoon,9.426,0,98.831
open_catchment,8.891,7.523,19.213,9.029,0.572,4,11.212,Summer,7.095,4,23.172
open_catchment,4.678,18.334,28.438,8.363,0.425,5,25.3,Summer,7.539,2,20.831
spring,6.574,0.706,21.062,7.351,0.607,11,28.024,Autumn,6.677,1,20.223
piped_protected,8.951,0.815,27.766,6.129,0.424,10,84.225,Autumn,7.768,0,39.45
community_tank,3.93,8.123,25.424,6.475,0.251,11,28.339,Autumn,6.8,0,21.971
shallow_well,9.618,10.192,24.957,6.977,0.254,3,170.573,Summer,7.751,3,59.364
canal,4.158,2.375,22.165,5.349,0.865,7,58.828,Monsoon,7.549,1,28.37
open_catchment,6.011,13.674,23.649,8.28,0.156,11,64.606,Autumn,7.435,3,26.091
pond,7.098,10.392,25.041,8.889,0.123,3,26.33,Summer,7.226,2,20.267
open_catchment,9.506,25.677,25.596,9.564,0.097,5,5.098,Summer,7.519,6,21.535
rooftop_rainwater,2.446,1.851,22.291,6.484,0.074,2,82.24,Winter,7.114,2,22.197
open_catchment,7.461,13.918,27.231,9.066,0.014,10,12.893,Autumn,7.691,3,23.583
reservoir,5.208,0.873,27.422,9.158,0.16,11,203.227,Autumn,7.405,1,54.511
open_catchment,2.686,8.331,26.452,6.052,0.193,10,91.061,Autumn,7.695,1,30.575
shallow_well,7.766,8.027,23.684,5.494,0.27,8,16.757,Monsoon,7.542,4,23.948
shallow_well,5.522,4.917,27.578,8.63,0.124,4,49.277,Summer,7.637,2,24.796
deep_borehole,6.61,18.616,26.863,6.177,0.094,1,17.261,Winter,7.332,3,22.815
community_tank,3.229,0.044,19.138,5.899,0.541,2,177.173,Winter,7.104,1,46.221
pond,4.813,7.343,25.634,8.225,0.719,11,709.769,Autumn,7.45,3,87.058
open_catchment,6.174,2.448,30.799,4.921,0.63,7,10.263,Monsoon,7.253,1,24.889
open_catchment,4.049,13.606,27.916,6.331,0.557,7,14.954,Monsoon,8.328,3,22.641
canal,1.984,0.44,28.46,4.204,0.441,2,94.134,Winter,7.403,3,29.808
shallow_well,9.616,17.811,22.897,5.739,0.634,8,64.933,Monsoon,7.569,2,34.524
pond,5.115,18.207,25.377,6.014,0.902,11,13.006,Autumn,7.288,4,18.209
spring,7.339,17.89,24.451,5.875,0.627,1,26.057,Winter,6.937,4,18.044
deep_borehole,4.11,1.655,24.993,6.355,0.061,12,38.276,Winter,7.669,3,21.622
community_tank,3.551,9.954,23.457,3.919,0.57,4,25.692,Summer,7.479,3,23.568
piped_protected,4.072,0.145,21.294,5.49,0.524,8,21.444,Monsoon,8.007,2,17.474
community_tank,4.092,18.836,25.193,9.017,0.452,5,8.117,Summer,6.772,0,14.78
reservoir,5.442,12.836,22.658,7.447,0.569,8,198.033,Monsoon,8.552,2,87.661
rooftop_rainwater,5.435,7.575,26.758,6.231,0.673,8,55.868,Monsoon,7.581,1,20.61
reservoir,4.972,13.115,24.908,6.017,0.037,9,199.71,Monsoon,7.121,1,60.399
open_catchment,1.348,0.991,19.218,8.148,0.48,1,19.006,Winter,7.695,3,21.399
deep_borehole,4.961,7.522,29.145,7.129,0.817,1,28.549,Winter,7.882,1,20.592
rooftop_rainwater,1.691,3.443,26.306,5.317,0.531,12,56.094,Winter,7.582,2,17.72
pond,1.261,35.979,23.626,6.2,0.068,9,12.345,Monsoon,7.586,4,26.653
piped_protected,9.326,19.457,23.991,5.145,0.775,7,106.908,Monsoon,7.314,2,45.09
shallow_well,6.05,13.215,21.316,5.961,0.941,9,16.387,Monsoon,7.139,2,16.401
deep_borehole,6.595,27.143,24.813,8.028,0.852,2,57.147,Winter,7.557,3,21.433
deep_borehole,4.018,4.259,27.044,7.877,0.363,8,36.51,Monsoon,7.86,1,21.575
reservoir,9.09,23.114,30.235,8.544,0.535,1,40.404,Winter,7.801,2,28.585
open_catchment,6.379,3.934,24.734,7.213,0.591,4,88.677,Summer,7.641,1,31.866
river,7.692,13.197,25.147,4.736,0.716,8,7.386,Monsoon,7.68,2,18.331
reservoir,3.686,13.334,28.578,5.131,0.666,12,9.807,Winter,6.893,1,19.42
deep_borehole,9.6,0.185,21.524,7.711,0.199,4,42.069,Summer,7.412,5,28.473
canal,8.205,4.479,25.437,7.153,0.843,3,43.848,Summer,7.671,0,25.135
piped_protected,8.539,0.196,22.731,5.261,0.849,7,19.0,Monsoon,7.476,2,23.387
reservoir,1.722,58.403,25.393,6.486,0.404,5,30.45,Summer,7.085,0,17.069
piped_protected,2.71,1.303,27.81,9.85,0.131,1,1.895,Winter,7.352,1,23.329
canal,2.856,7.827,20.043,8.397,0.609,11,77.365,Autumn,7.862,1,30.031
spring,2.709,15.633,28.333,9.248,0.357,4,105.353,Summer,7.181,0,35.415
canal,8.554,2.247,26.079,5.231,0.741,4,41.842,Summer,7.278,2,22.302
canal,0.319,6.637,25.42,9.506,0.316,12,16.413,Winter,6.912,0,19.258
piped_protected,0.761,9.35,29.038,6.22,0.263,1,41.894,Winter,8.3,1,28.616
community_tank,2.739,1.746,22.628,9.358,0.868,11,46.568,Autumn,7.812,2,20.7
piped_protected,1.999,15.076,20.981,7.537,0.616,11,13.634,Autumn,7.561,2,21.174
river,2.319,3.557,21.927,7.943,0.086,10,139.53,Autumn,8.045,2,41.034
open_catchment,7.979,2.37,26.598,8.042,0.689,5,210.925,Summer,7.311,1,61.078
rooftop_rainwater,5.631,8.171,23.515,7.148,0.753,12,67.282,Winter,8.082,1,25.608
community_tank,0.058,5.282,22.379,7.875,0.235,2,7.605,Winter,7.443,3,16.447
shallow_well,4.293,25.293,22.068,5.472,0.968,8,37.307,Monsoon,6.706,0,15.893
rooftop_rainwater,4.079,21.208,25.524,6.807,0.373,9,42.902,Monsoon,6.998,3,24.178
open_catchment,1.139,6.604,24.917,8.171,0.941,2,270.823,Winter,7.525,1,53.077
reservoir,6.761,4.451,20.744,7.163,0.294,12,43.39,Winter,7.572,2,28.157
river,7.021,3.938,20.844,6.474,0.609,10,7.065,Autumn,7.548,3,20.237
river,7.209,3.114,23.419,7.351,0.518,12,21.192,Winter,6.674,4,20.336
shallow_well,7.285,7.865,27.754,4.954,0.992,10,29.783,Autumn,7.607,1,23.898
community_tank,0.001,16.346,23.722,8.569,0.408,4,59.514,Summer,7.673,0,20.831
spring,9.539,3.722,20.571,3.882,0.179,11,35.109,Autumn,8.162,0,31.325
canal,8.142,2.108,24.74,6.963,0.833,2,24.944,Winter,8.024,2,21.688
community_tank,9.04,6.453,25.114,8.14,0.042,11,7.51,Autumn,7.653,2,25.169
spring,0.156,0.715,20.545,7.122,0.885,5,18.0,Summer,8.422,2,17.429
river,9.339,12.082,21.347,6.296,0.111,7,26.342,Monsoon,7.877,2,31.776
piped_protected,8.098,7.306,27.232,8.649,0.572,5,30.106,Summer,7.645,2,22.54
open_catchment,8.372,6.859,21.309,5.967,0.713,5,182.075,Summer,7.311,3,57.355
shallow_well,0.933,3.573,27.358,9.527,0.336,2,70.489,Winter,7.707,0,22.705
open_catchment,7.388,23.504,20.36,6.685,0.845,11,14.75,Autumn,7.478,1,24.872
pond,9.599,0.948,20.472,6.632,0.594,3,64.894,Summer,7.68,5,27.284
pond,6.785,20.389,25.069,8.092,0.395,6,10.289,Monsoon,7.297,2,21.735
reservoir,5.706,4.727,22.736,6.535,0.325,6,11.599,Monsoon,7.29,1,19.936
community_tank,9.456,21.255,23.396,7.144,0.112,1,18.115,Winter,7.549,3,32.594
river,4.429,13.048,25.455,7.857,0.64,1,33.3,Winter,7.762,1,20.291
river,5.993,1.1,23.308,5.162,0.364,10,74.645,Autumn,7.018,4,29.316
canal,4.763,17.81,22.156,7.919,0.321,9,57.177,Monsoon,7.374,1,25.809
canal,9.328,11.463,26.472,4.46,0.95,11,66.344,Autumn,7.425,2,30.003
canal,0.761,0.328,25.542,6.981,0.273,11,107.509,Autumn,7.928,2,30.576
piped_protected,5.011,1.435,25.13,6.465,0.877,2,87.487,Winter,7.61,1,25.118
rooftop_rainwater,6.87,10.096,24.946,5.033,0.975,2,21.686,Winter,7.02,1,20.678
deep_borehole,7.919,10.865,22.594,9.537,0.823,12,18.498,Winter,7.81,0,24.56
rooftop_rainwater,5.83,13.73,21.969,7.251,0.02,9,71.054,Monsoon,7.258,2,34.726
open_catchment,9.089,12.738,23.966,6.021,0.869,12,110.921,Winter,7.571,0,37.154
rooftop_rainwater,9.42,10.774,22.644,7.213,0.213,5,64.474,Summer,7.518,5,35.249
piped_protected,0.643,14.535,24.963,10.73,0.353,6,95.445,Monsoon,7.922,2,32.602
reservoir,4.024,8.559,23.825,5.507,0.992,3,53.95,Summer,7.421,1,19.535
open_catchment,0.235,3.022,25.054,7.987,0.405,7,144.073,Monsoon,7.469,5,39.624
rooftop_rainwater,3.294,24.347,24.721,5.628,0.655,2,20.891,Winter,7.333,1,18.385
piped_protected,5.369,0.184,30.296,7.723,0.311,5,97.094,Summer,7.307,2,26.238
deep_borehole,9.108,4.566,20.841,6.011,0.369,4,32.898,Summer,7.214,8,26.616
rooftop_rainwater,8.466,13.052,24.438,6.755,0.598,8,11.047,Monsoon,7.168,3,25.888
piped_protected,1.275,5.571,21.677,7.237,0.948,2,27.222,Winter,7.009,4,18.741
canal,0.93,0.251,23.551,8.98,0.282,1,66.407,Winter,7.945,0,25.918
river,5.893,0.683,22.549,4.789,0.247,2,139.799,Winter,7.423,0,39.705
canal,5.321,10.459,26.917,9.549,0.026,2,38.896,Winter,7.859,5,21.667
river,2.664,33.485,20.578,4.123,0.202,8,24.489,Monsoon,7.459,5,25.563
shallow_well,8.995,8.027,27.342,7.491,0.262,1,69.466,Winter,7.593,0,34.515
shallow_well,9.274,7.068,26.589,7.091,0.063,1,6.824,Winter,7.246,2,17.519
shallow_well,4.026,3.832,31.166,6.803,0.564,10,42.447,Autumn,7.176,1,23.583
deep_borehole,8.903,2.966,30.409,7.054,0.127,1,5.875,Winter,7.615,2,24.024
canal,3.839,0.212,22.606,7.783,0.511,3,9.258,Summer,7.199,6,15.301
river,7.368,3.188,28.711,7.693,0.189,5,11.768,Summer,7.374,3,23.682
piped_protected,4.759,5.962,24.027,6.731,0.936,8,54.193,Monsoon,7.666,2,22.096
open_catchment,1.226,2.206,25.913,8.055,0.307,8,24.436,Monsoon,7.059,2,15.486
piped_protected,9.279,0.914,30.16,6.656,0.093,12,13.71,Winter,8.405,3,22.531
open_catchment,4.541,12.649,22.725,7.14,0.836,10,77.224,Autumn,7.142,1,30.237
pond,7.345,22.502,25.168,8.737,0.402,5,15.801,Summer,7.145,1,14.826
piped_protected,3.672,27.61,19.158,8.78,0.82,5,49.851,Summer,7.662,1,27.89
rooftop_rainwater,0.189,9.623,27.664,8.572,0.312,7,40.105,Monsoon,7.619,3,33.389
rooftop_rainwater,1.005,0.542,31.308,5.462,0.5,1,25.294,Winter,7.571,1,21.343
community_tank,4.962,13.504,26.72,7.639,0.445,1,33.577,Winter,7.293,2,25.771
canal,6.9,1.166,29.104,7.692,0.558,11,78.866,Autumn,7.565,1,35.878
open_catchment,3.347,11.079,28.426,9.651,0.402,1,9.135,Winter,7.948,3,21.33
